"epoch","zany-thunder-162 - _step","zany-thunder-162 - _step__MIN","zany-thunder-162 - _step__MAX","zany-thunder-162 - accuracy","zany-thunder-162 - accuracy__MIN","zany-thunder-162 - accuracy__MAX"
"1","0","0","0","92.35","92.35","92.35"
"2","1","1","1","92.44","92.44","92.44"
"3","2","2","2","92.01","92.01","92.01"
"4","3","3","3","92.16","92.16","92.16"
"5","4","4","4","92.83","92.83","92.83"
"6","5","5","5","91.85","91.85","91.85"
"7","6","6","6","92.62","92.62","92.62"
"8","7","7","7","92.13","92.13","92.13"
"9","8","8","8","92.67","92.67","92.67"
"10","9","9","9","92.72","92.72","92.72"
"11","10","10","10","92.19","92.19","92.19"
"12","11","11","11","92.66","92.66","92.66"
"13","12","12","12","92.68","92.68","92.68"
"14","13","13","13","93.25","93.25","93.25"
"15","14","14","14","92.53","92.53","92.53"
"16","15","15","15","92.53","92.53","92.53"
"17","16","16","16","92.88","92.88","92.88"
"18","17","17","17","93.23","93.23","93.23"
"19","18","18","18","92.64","92.64","92.64"
"20","19","19","19","92.93","92.93","92.93"
"21","20","20","20","92.44","92.44","92.44"
"22","21","21","21","92.72","92.72","92.72"
"23","22","22","22","92.93","92.93","92.93"
"24","23","23","23","92.82","92.82","92.82"
"25","24","24","24","93.14","93.14","93.14"
"26","25","25","25","92.72","92.72","92.72"
"27","26","26","26","92.48","92.48","92.48"
"28","27","27","27","92.55","92.55","92.55"
"29","28","28","28","92.1","92.1","92.1"
"30","29","29","29","92.64","92.64","92.64"
"31","30","30","30","92.23","92.23","92.23"
"32","31","31","31","93.03","93.03","93.03"
"33","32","32","32","92.75","92.75","92.75"
"34","33","33","33","93.13","93.13","93.13"
"35","34","34","34","93.45","93.45","93.45"
"36","35","35","35","93.52","93.52","93.52"
"37","36","36","36","92.69","92.69","92.69"
"38","37","37","37","93.29","93.29","93.29"
"39","38","38","38","93.66","93.66","93.66"
"40","39","39","39","92.93","92.93","92.93"
"41","40","40","40","93.29","93.29","93.29"
"42","41","41","41","93.84","93.84","93.84"
"43","42","42","42","93.67","93.67","93.67"
"44","43","43","43","93.48","93.48","93.48"
"45","44","44","44","93.03","93.03","93.03"
"46","45","45","45","91.95","91.95","91.95"
"47","46","46","46","92.81","92.81","92.81"
"48","47","47","47","92.46","92.46","92.46"
"49","48","48","48","91.31","91.31","91.31"
"50","49","49","49","91.92","91.92","91.92"
"51","50","50","50","93.03","93.03","93.03"
"52","51","51","51","92.91","92.91","92.91"
"53","52","52","52","91.82","91.82","91.82"
"54","53","53","53","92.86","92.86","92.86"
"55","54","54","54","92.36","92.36","92.36"
"56","55","55","55","93.15","93.15","93.15"
"57","56","56","56","92.92","92.92","92.92"
"58","57","57","57","93.17","93.17","93.17"
"59","58","58","58","93.62","93.62","93.62"
"60","59","59","59","93.38","93.38","93.38"
"61","60","60","60","93.42","93.42","93.42"
"62","61","61","61","93.92","93.92","93.92"
"63","62","62","62","93.57","93.57","93.57"
"64","63","63","63","93.65","93.65","93.65"
"65","64","64","64","93.48","93.48","93.48"
"66","65","65","65","93.41","93.41","93.41"
"67","66","66","66","93.66","93.66","93.66"
"68","67","67","67","93.97","93.97","93.97"
"69","68","68","68","93.29","93.29","93.29"
"70","69","69","69","93.29","93.29","93.29"
"71","70","70","70","93.34","93.34","93.34"
"72","71","71","71","93.53","93.53","93.53"
"73","72","72","72","92.89","92.89","92.89"
"74","73","73","73","92.88","92.88","92.88"
"75","74","74","74","92.99","92.99","92.99"
"76","75","75","75","92.91","92.91","92.91"
"77","76","76","76","93.22","93.22","93.22"
"78","77","77","77","93.32","93.32","93.32"
"79","78","78","78","93.07","93.07","93.07"
"80","79","79","79","93.52","93.52","93.52"
"81","80","80","80","93.89","93.89","93.89"
"82","81","81","81","93.75","93.75","93.75"
"83","82","82","82","93.62","93.62","93.62"
"84","83","83","83","93.65","93.65","93.65"
"85","84","84","84","93.97","93.97","93.97"
"86","85","85","85","93.78","93.78","93.78"
"87","86","86","86","93.7","93.7","93.7"
"88","87","87","87","93.84","93.84","93.84"
"89","88","88","88","93.85","93.85","93.85"
"90","89","89","89","93.71","93.71","93.71"
"91","90","90","90","93.21","93.21","93.21"
"92","91","91","91","93.44","93.44","93.44"
"93","92","92","92","93.82","93.82","93.82"
"94","93","93","93","93.6","93.6","93.6"
"95","94","94","94","93.9","93.9","93.9"
"96","95","95","95","93.72","93.72","93.72"
"97","96","96","96","93.4","93.4","93.4"
"98","97","97","97","93.44","93.44","93.44"
"99","98","98","98","93.23","93.23","93.23"
"100","99","99","99","93.56","93.56","93.56"
"101","100","100","100","93.9","93.9","93.9"
"102","101","101","101","89.6","89.6","89.6"
"103","102","102","102","92.57","92.57","92.57"
"104","103","103","103","93.15","93.15","93.15"
"105","104","104","104","93.68","93.68","93.68"
"106","105","105","105","94.11","94.11","94.11"
"107","106","106","106","93.87","93.87","93.87"
"108","107","107","107","94.01","94.01","94.01"
"109","108","108","108","94.25","94.25","94.25"
"110","109","109","109","94.4","94.4","94.4"
"111","110","110","110","94.42","94.42","94.42"
"112","111","111","111","94.3","94.3","94.3"
"113","112","112","112","94.54","94.54","94.54"
"114","113","113","113","94.49","94.49","94.49"
"115","114","114","114","94.59","94.59","94.59"
"116","115","115","115","94.51","94.51","94.51"
"117","116","116","116","94.7","94.7","94.7"
"118","117","117","117","94.59","94.59","94.59"
"119","118","118","118","94.41","94.41","94.41"
"120","119","119","119","94.5","94.5","94.5"
"121","120","120","120","94.56","94.56","94.56"
"122","121","121","121","94.62","94.62","94.62"
"123","122","122","122","94.66","94.66","94.66"
"124","123","123","123","94.54","94.54","94.54"
"125","124","124","124","94.66","94.66","94.66"
"126","125","125","125","94.69","94.69","94.69"
"127","126","126","126","94.65","94.65","94.65"
"128","127","127","127","94.73","94.73","94.73"
"129","128","128","128","94.59","94.59","94.59"
"130","129","129","129","94.4","94.4","94.4"
"131","130","130","130","94.61","94.61","94.61"
"132","131","131","131","94.6","94.6","94.6"
"133","132","132","132","94.66","94.66","94.66"
"134","133","133","133","94.66","94.66","94.66"
"135","134","134","134","94.54","94.54","94.54"
"136","135","135","135","94.65","94.65","94.65"
"137","136","136","136","94.67","94.67","94.67"
"138","137","137","137","94.56","94.56","94.56"
"139","138","138","138","94.66","94.66","94.66"
"140","139","139","139","94.67","94.67","94.67"
"141","140","140","140","94.64","94.64","94.64"
"142","141","141","141","94.64","94.64","94.64"
"143","142","142","142","94.64","94.64","94.64"
"144","143","143","143","94.63","94.63","94.63"
"145","144","144","144","94.69","94.69","94.69"
"146","145","145","145","94.56","94.56","94.56"
"147","146","146","146","94.58","94.58","94.58"
"148","147","147","147","94.63","94.63","94.63"
"149","148","148","148","94.56","94.56","94.56"
"150","149","149","149","94.61","94.61","94.61"
"151","150","150","150","94.71","94.71","94.71"
"152","151","151","151","94.66","94.66","94.66"
"153","152","152","152","94.63","94.63","94.63"
"154","153","153","153","94.67","94.67","94.67"
"155","154","154","154","94.63","94.63","94.63"
"156","155","155","155","94.68","94.68","94.68"
"157","156","156","156","94.69","94.69","94.69"
"158","157","157","157","94.75","94.75","94.75"
"159","158","158","158","94.56","94.56","94.56"
"160","159","159","159","94.7","94.7","94.7"