"epoch","zany-thunder-162 - _step","zany-thunder-162 - _step__MIN","zany-thunder-162 - _step__MAX","zany-thunder-162 - sparsity","zany-thunder-162 - sparsity__MIN","zany-thunder-162 - sparsity__MAX"
"1","0","0","0","100","100","100"
"2","1","1","1","100","100","100"
"3","2","2","2","86.9538","86.9538","86.9538"
"4","3","3","3","60.5406","60.5406","60.5406"
"5","4","4","4","53.5308","53.5308","53.5308"
"6","5","5","5","51.2437","51.2437","51.2437"
"7","6","6","6","51.1062","51.1062","51.1062"
"8","7","7","7","50.9754","50.9754","50.9754"
"9","8","8","8","49.706","49.706","49.706"
"10","9","9","9","46.7022","46.7022","46.7022"
"11","10","10","10","41.7032","41.7032","41.7032"
"12","11","11","11","35.608","35.608","35.608"
"13","12","12","12","29.4602","29.4602","29.4602"
"14","13","13","13","25.9803","25.9803","25.9803"
"15","14","14","14","23.9318","23.9318","23.9318"
"16","15","15","15","22.8036","22.8036","22.8036"
"17","16","16","16","22.3453","22.3453","22.3453"
"18","17","17","17","22.3125","22.3125","22.3125"
"19","18","18","18","22.0776","22.0776","22.0776"
"20","19","19","19","21.5007","21.5007","21.5007"
"21","20","20","20","20.5751","20.5751","20.5751"
"22","21","21","21","19.2192","19.2192","19.2192"
"23","22","22","22","17.4194","17.4194","17.4194"
"24","23","23","23","15.2374","15.2374","15.2374"
"25","24","24","24","12.8814","12.8814","12.8814"
"26","25","25","25","10.5541","10.5541","10.5541"
"27","26","26","26","9.0086","9.0086","9.0086"
"28","27","27","27","7.9775","7.9775","7.9775"
"29","28","28","28","7.2848","7.2848","7.2848"
"30","29","29","29","6.8241","6.8241","6.8241"
"31","30","30","30","6.5279","6.5279","6.5279"
"32","31","31","31","6.3642","6.3642","6.3642"
"33","32","32","32","6.3128","6.3128","6.3128"
"34","33","33","33","6.3351","6.3351","6.3351"
"35","34","34","34","6.3484","6.3484","6.3484"
"36","35","35","35","6.3265","6.3265","6.3265"
"37","36","36","36","6.2463","6.2463","6.2463"
"38","37","37","37","6.0989","6.0989","6.0989"
"39","38","38","38","5.888","5.888","5.888"
"40","39","39","39","5.6211","5.6211","5.6211"
"41","40","40","40","5.3017","5.3017","5.3017"
"42","41","41","41","4.9248","4.9248","4.9248"
"43","42","42","42","4.4942","4.4942","4.4942"
"44","43","43","43","4.0247","4.0247","4.0247"
"45","44","44","44","3.5408","3.5408","3.5408"
"46","45","45","45","3.0799","3.0799","3.0799"
"47","46","46","46","2.7444","2.7444","2.7444"
"48","47","47","47","2.4963","2.4963","2.4963"
"49","48","48","48","2.3114","2.3114","2.3114"
"50","49","49","49","2.1724","2.1724","2.1724"
"51","50","50","50","2.0709","2.0709","2.0709"
"52","51","51","51","1.9978","1.9978","1.9978"
"53","52","52","52","1.9463","1.9463","1.9463"
"54","53","53","53","1.9176","1.9176","1.9176"
"55","54","54","54","1.9056","1.9056","1.9056"
"56","55","55","55","1.9111","1.9111","1.9111"
"57","56","56","56","1.9293","1.9293","1.9293"
"58","57","57","57","1.9442","1.9442","1.9442"
"59","58","58","58","1.9545","1.9545","1.9545"
"60","59","59","59","1.9614","1.9614","1.9614"
"61","60","60","60","1.9588","1.9588","1.9588"
"62","61","61","61","1.9439","1.9439","1.9439"
"63","62","62","62","1.9134","1.9134","1.9134"
"64","63","63","63","1.8671","1.8671","1.8671"
"65","64","64","64","1.8054","1.8054","1.8054"
"66","65","65","65","1.7353","1.7353","1.7353"
"67","66","66","66","1.6547","1.6547","1.6547"
"68","67","67","67","1.569","1.569","1.569"
"69","68","68","68","1.4782","1.4782","1.4782"
"70","69","69","69","1.3875","1.3875","1.3875"
"71","70","70","70","1.3178","1.3178","1.3178"
"72","71","71","71","1.2616","1.2616","1.2616"
"73","72","72","72","1.2196","1.2196","1.2196"
"74","73","73","73","1.1859","1.1859","1.1859"
"75","74","74","74","1.1603","1.1603","1.1603"
"76","75","75","75","1.1423","1.1423","1.1423"
"77","76","76","76","1.1311","1.1311","1.1311"
"78","77","77","77","1.1261","1.1261","1.1261"
"79","78","78","78","1.1282","1.1282","1.1282"
"80","79","79","79","1.1369","1.1369","1.1369"
"81","80","80","80","1.1471","1.1471","1.1471"
"82","81","81","81","1.1559","1.1559","1.1559"
"83","82","82","82","1.1623","1.1623","1.1623"
"84","83","83","83","1.1666","1.1666","1.1666"
"85","84","84","84","1.1677","1.1677","1.1677"
"86","85","85","85","1.164","1.164","1.164"
"87","86","86","86","1.1527","1.1527","1.1527"
"88","87","87","87","1.1343","1.1343","1.1343"
"89","88","88","88","1.1072","1.1072","1.1072"
"90","89","89","89","1.075","1.075","1.075"
"91","90","90","90","1.0394","1.0394","1.0394"
"92","91","91","91","1.0145","1.0145","1.0145"
"93","92","92","92","0.9953","0.9953","0.9953"
"94","93","93","93","0.9817","0.9817","0.9817"
"95","94","94","94","0.9716","0.9716","0.9716"
"96","95","95","95","0.9664","0.9664","0.9664"
"97","96","96","96","0.9668","0.9668","0.9668"
"98","97","97","97","0.9705","0.9705","0.9705"
"99","98","98","98","0.9789","0.9789","0.9789"
"100","99","99","99","0.9873","0.9873","0.9873"
"101","100","100","100","0.9958","0.9958","0.9958"
"102","101","101","101","1.2091","1.2091","1.2091"
"103","102","102","102","1.2794","1.2794","1.2794"
"104","103","103","103","1.3136","1.3136","1.3136"
"105","104","104","104","1.3288","1.3288","1.3288"
"106","105","105","105","1.339","1.339","1.339"
"107","106","106","106","1.3434","1.3434","1.3434"
"108","107","107","107","1.3489","1.3489","1.3489"
"109","108","108","108","1.3512","1.3512","1.3512"
"110","109","109","109","1.3534","1.3534","1.3534"
"111","110","110","110","1.355","1.355","1.355"
"112","111","111","111","1.3562","1.3562","1.3562"
"113","112","112","112","1.3568","1.3568","1.3568"
"114","113","113","113","1.3574","1.3574","1.3574"
"115","114","114","114","1.3582","1.3582","1.3582"
"116","115","115","115","1.3582","1.3582","1.3582"
"117","116","116","116","1.3584","1.3584","1.3584"
"118","117","117","117","1.3585","1.3585","1.3585"
"119","118","118","118","1.3585","1.3585","1.3585"
"120","119","119","119","1.3587","1.3587","1.3587"
"121","120","120","120","1.3587","1.3587","1.3587"
"122","121","121","121","1.3588","1.3588","1.3588"
"123","122","122","122","1.3589","1.3589","1.3589"
"124","123","123","123","1.359","1.359","1.359"
"125","124","124","124","1.3589","1.3589","1.3589"
"126","125","125","125","1.3588","1.3588","1.3588"
"127","126","126","126","1.3589","1.3589","1.3589"
"128","127","127","127","1.359","1.359","1.359"
"129","128","128","128","1.3589","1.3589","1.3589"
"130","129","129","129","1.3588","1.3588","1.3588"
"131","130","130","130","1.3589","1.3589","1.3589"
"132","131","131","131","1.3589","1.3589","1.3589"
"133","132","132","132","1.3589","1.3589","1.3589"
"134","133","133","133","1.3588","1.3588","1.3588"
"135","134","134","134","1.3589","1.3589","1.3589"
"136","135","135","135","1.3589","1.3589","1.3589"
"137","136","136","136","1.3589","1.3589","1.3589"
"138","137","137","137","1.3589","1.3589","1.3589"
"139","138","138","138","1.3589","1.3589","1.3589"
"140","139","139","139","1.3589","1.3589","1.3589"
"141","140","140","140","1.3589","1.3589","1.3589"
"142","141","141","141","1.3589","1.3589","1.3589"
"143","142","142","142","1.3589","1.3589","1.3589"
"144","143","143","143","1.3589","1.3589","1.3589"
"145","144","144","144","1.3589","1.3589","1.3589"
"146","145","145","145","1.359","1.359","1.359"
"147","146","146","146","1.3589","1.3589","1.3589"
"148","147","147","147","1.3589","1.3589","1.3589"
"149","148","148","148","1.3589","1.3589","1.3589"
"150","149","149","149","1.3589","1.3589","1.3589"
"151","150","150","150","1.3589","1.3589","1.3589"
"152","151","151","151","1.3589","1.3589","1.3589"
"153","152","152","152","1.3589","1.3589","1.3589"
"154","153","153","153","1.3589","1.3589","1.3589"
"155","154","154","154","1.3589","1.3589","1.3589"
"156","155","155","155","1.3589","1.3589","1.3589"
"157","156","156","156","1.3589","1.3589","1.3589"
"158","157","157","157","1.3589","1.3589","1.3589"
"159","158","158","158","1.3589","1.3589","1.3589"
"160","159","159","159","1.3589","1.3589","1.3589"