"epoch","silver-violet-163 - _step","silver-violet-163 - _step__MIN","silver-violet-163 - _step__MAX","silver-violet-163 - accuracy","silver-violet-163 - accuracy__MIN","silver-violet-163 - accuracy__MAX"
"1","0","0","0","72.84","72.84","72.84"
"2","1","1","1","79.5","79.5","79.5"
"3","2","2","2","83.25","83.25","83.25"
"4","3","3","3","80.56","80.56","80.56"
"5","4","4","4","80.94","80.94","80.94"
"6","5","5","5","82.87","82.87","82.87"
"7","6","6","6","82.38","82.38","82.38"
"8","7","7","7","84.65","84.65","84.65"
"9","8","8","8","85.33","85.33","85.33"
"10","9","9","9","85.19","85.19","85.19"
"11","10","10","10","85.71","85.71","85.71"
"12","11","11","11","81.85","81.85","81.85"
"13","12","12","12","85.13","85.13","85.13"
"14","13","13","13","87.63","87.63","87.63"
"15","14","14","14","82.5","82.5","82.5"
"16","15","15","15","86.41","86.41","86.41"
"17","16","16","16","82.86","82.86","82.86"
"18","17","17","17","87.19","87.19","87.19"
"19","18","18","18","87.91","87.91","87.91"
"20","19","19","19","85.54","85.54","85.54"
"21","20","20","20","84.22","84.22","84.22"
"22","21","21","21","87.49","87.49","87.49"
"23","22","22","22","88.41","88.41","88.41"
"24","23","23","23","87.65","87.65","87.65"
"25","24","24","24","89.07","89.07","89.07"
"26","25","25","25","88.89","88.89","88.89"
"27","26","26","26","88.54","88.54","88.54"
"28","27","27","27","86.91","86.91","86.91"
"29","28","28","28","89.16","89.16","89.16"
"30","29","29","29","89.09","89.09","89.09"
"31","30","30","30","89.8","89.8","89.8"
"32","31","31","31","87.9","87.9","87.9"
"33","32","32","32","89.46","89.46","89.46"
"34","33","33","33","89.39","89.39","89.39"
"35","34","34","34","89.25","89.25","89.25"
"36","35","35","35","89.96","89.96","89.96"
"37","36","36","36","90.31","90.31","90.31"
"38","37","37","37","90.8","90.8","90.8"
"39","38","38","38","90.01","90.01","90.01"
"40","39","39","39","89.53","89.53","89.53"
"41","40","40","40","90.52","90.52","90.52"
"42","41","41","41","90.66","90.66","90.66"
"43","42","42","42","89.19","89.19","89.19"
"44","43","43","43","90.91","90.91","90.91"
"45","44","44","44","90.99","90.99","90.99"
"46","45","45","45","90.78","90.78","90.78"
"47","46","46","46","91.18","91.18","91.18"
"48","47","47","47","91.17","91.17","91.17"
"49","48","48","48","91.05","91.05","91.05"
"50","49","49","49","90.67","90.67","90.67"
"51","50","50","50","90.48","90.48","90.48"
"52","51","51","51","91.85","91.85","91.85"
"53","52","52","52","90.78","90.78","90.78"
"54","53","53","53","92.18","92.18","92.18"
"55","54","54","54","90.67","90.67","90.67"
"56","55","55","55","91.92","91.92","91.92"
"57","56","56","56","92.06","92.06","92.06"
"58","57","57","57","92.55","92.55","92.55"
"59","58","58","58","92.15","92.15","92.15"
"60","59","59","59","91.93","91.93","91.93"
"61","60","60","60","91.73","91.73","91.73"
"62","61","61","61","91.69","91.69","91.69"
"63","62","62","62","91.03","91.03","91.03"
"64","63","63","63","92.43","92.43","92.43"
"65","64","64","64","90.92","90.92","90.92"
"66","65","65","65","92.66","92.66","92.66"
"67","66","66","66","91.42","91.42","91.42"
"68","67","67","67","92.18","92.18","92.18"
"69","68","68","68","91.93","91.93","91.93"
"70","69","69","69","92.14","92.14","92.14"
"71","70","70","70","91.85","91.85","91.85"
"72","71","71","71","92.88","92.88","92.88"
"73","72","72","72","92.63","92.63","92.63"
"74","73","73","73","93.21","93.21","93.21"
"75","74","74","74","92.56","92.56","92.56"
"76","75","75","75","93.32","93.32","93.32"
"77","76","76","76","92.55","92.55","92.55"
"78","77","77","77","93.31","93.31","93.31"
"79","78","78","78","93.03","93.03","93.03"
"80","79","79","79","93.36","93.36","93.36"
"81","80","80","80","93.7","93.7","93.7"
"82","81","81","81","93.68","93.68","93.68"
"83","82","82","82","93.67","93.67","93.67"
"84","83","83","83","94.04","94.04","94.04"
"85","84","84","84","93.81","93.81","93.81"
"86","85","85","85","94","94","94"
"87","86","86","86","94.27","94.27","94.27"
"88","87","87","87","94.01","94.01","94.01"
"89","88","88","88","94.1","94.1","94.1"
"90","89","89","89","94.21","94.21","94.21"
"91","90","90","90","94.08","94.08","94.08"
"92","91","91","91","94.4","94.4","94.4"
"93","92","92","92","94.38","94.38","94.38"
"94","93","93","93","94.33","94.33","94.33"
"95","94","94","94","94.4","94.4","94.4"
"96","95","95","95","94.32","94.32","94.32"
"97","96","96","96","94.55","94.55","94.55"
"98","97","97","97","94.51","94.51","94.51"
"99","98","98","98","94.39","94.39","94.39"
"100","99","99","99","94.33","94.33","94.33"
"101","100","100","100","94.5","94.5","94.5"
"102","101","101","101","92.49","92.49","92.49"
"103","102","102","102","93.58","93.58","93.58"
"104","103","103","103","93.57","93.57","93.57"
"105","104","104","104","93.97","93.97","93.97"
"106","105","105","105","94.08","94.08","94.08"
"107","106","106","106","94.14","94.14","94.14"
"108","107","107","107","94.16","94.16","94.16"
"109","108","108","108","94.31","94.31","94.31"
"110","109","109","109","94.58","94.58","94.58"
"111","110","110","110","94.41","94.41","94.41"
"112","111","111","111","94.62","94.62","94.62"
"113","112","112","112","94.63","94.63","94.63"
"114","113","113","113","94.43","94.43","94.43"
"115","114","114","114","94.56","94.56","94.56"
"116","115","115","115","94.49","94.49","94.49"
"117","116","116","116","94.47","94.47","94.47"
"118","117","117","117","94.5","94.5","94.5"
"119","118","118","118","94.3","94.3","94.3"
"120","119","119","119","94.38","94.38","94.38"
"121","120","120","120","94.46","94.46","94.46"
"122","121","121","121","94.41","94.41","94.41"
"123","122","122","122","94.61","94.61","94.61"
"124","123","123","123","94.37","94.37","94.37"
"125","124","124","124","94.5","94.5","94.5"
"126","125","125","125","94.46","94.46","94.46"
"127","126","126","126","94.52","94.52","94.52"
"128","127","127","127","94.42","94.42","94.42"
"129","128","128","128","94.42","94.42","94.42"
"130","129","129","129","94.47","94.47","94.47"
"131","130","130","130","94.46","94.46","94.46"
"132","131","131","131","94.5","94.5","94.5"
"133","132","132","132","94.53","94.53","94.53"
"134","133","133","133","94.49","94.49","94.49"
"135","134","134","134","94.55","94.55","94.55"
"136","135","135","135","94.42","94.42","94.42"
"137","136","136","136","94.45","94.45","94.45"
"138","137","137","137","94.52","94.52","94.52"
"139","138","138","138","94.43","94.43","94.43"
"140","139","139","139","94.46","94.46","94.46"
"141","140","140","140","94.46","94.46","94.46"
"142","141","141","141","94.43","94.43","94.43"
"143","142","142","142","94.48","94.48","94.48"
"144","143","143","143","94.46","94.46","94.46"
"145","144","144","144","94.42","94.42","94.42"
"146","145","145","145","94.39","94.39","94.39"
"147","146","146","146","94.39","94.39","94.39"
"148","147","147","147","94.55","94.55","94.55"
"149","148","148","148","94.6","94.6","94.6"
"150","149","149","149","94.5","94.5","94.5"
"151","150","150","150","94.52","94.52","94.52"
"152","151","151","151","94.51","94.51","94.51"
"153","152","152","152","94.46","94.46","94.46"
"154","153","153","153","94.43","94.43","94.43"
"155","154","154","154","94.52","94.52","94.52"
"156","155","155","155","94.44","94.44","94.44"
"157","156","156","156","94.51","94.51","94.51"
"158","157","157","157","94.49","94.49","94.49"
"159","158","158","158","94.49","94.49","94.49"
"160","159","159","159","94.46","94.46","94.46"