"epoch","cosmic-lion-159 - _step","cosmic-lion-159 - _step__MIN","cosmic-lion-159 - _step__MAX","cosmic-lion-159 - accuracy","cosmic-lion-159 - accuracy__MIN","cosmic-lion-159 - accuracy__MAX"
"1","0","0","0","94.86","94.86","94.86"
"2","1","1","1","94.82","94.82","94.82"
"3","2","2","2","94.78","94.78","94.78"
"4","3","3","3","94.79","94.79","94.79"
"5","4","4","4","94.77","94.77","94.77"
"6","5","5","5","94.83","94.83","94.83"
"7","6","6","6","94.81","94.81","94.81"
"8","7","7","7","94.86","94.86","94.86"
"9","8","8","8","94.75","94.75","94.75"
"10","9","9","9","94.78","94.78","94.78"
"11","10","10","10","94.69","94.69","94.69"
"12","11","11","11","94.8","94.8","94.8"
"13","12","12","12","94.68","94.68","94.68"
"14","13","13","13","94.84","94.84","94.84"
"15","14","14","14","94.54","94.54","94.54"
"16","15","15","15","94.49","94.49","94.49"
"17","16","16","16","94.65","94.65","94.65"
"18","17","17","17","94.43","94.43","94.43"
"19","18","18","18","94.38","94.38","94.38"
"20","19","19","19","94.08","94.08","94.08"
"21","20","20","20","94.35","94.35","94.35"
"22","21","21","21","94.37","94.37","94.37"
"23","22","22","22","94.26","94.26","94.26"
"24","23","23","23","93.93","93.93","93.93"
"25","24","24","24","94.02","94.02","94.02"
"26","25","25","25","94.06","94.06","94.06"
"27","26","26","26","94.29","94.29","94.29"
"28","27","27","27","93.71","93.71","93.71"
"29","28","28","28","94.19","94.19","94.19"
"30","29","29","29","93.92","93.92","93.92"
"31","30","30","30","93.79","93.79","93.79"
"32","31","31","31","93.44","93.44","93.44"
"33","32","32","32","93.58","93.58","93.58"
"34","33","33","33","93.7","93.7","93.7"
"35","34","34","34","93.85","93.85","93.85"
"36","35","35","35","93.88","93.88","93.88"
"37","36","36","36","93.5","93.5","93.5"
"38","37","37","37","94.07","94.07","94.07"
"39","38","38","38","93.43","93.43","93.43"
"40","39","39","39","93.45","93.45","93.45"
"41","40","40","40","93.12","93.12","93.12"
"42","41","41","41","92.81","92.81","92.81"
"43","42","42","42","93.38","93.38","93.38"
"44","43","43","43","93.06","93.06","93.06"
"45","44","44","44","93.3","93.3","93.3"
"46","45","45","45","93.22","93.22","93.22"
"47","46","46","46","93.1","93.1","93.1"
"48","47","47","47","93.21","93.21","93.21"
"49","48","48","48","93.13","93.13","93.13"
"50","49","49","49","93.15","93.15","93.15"
"51","50","50","50","93.42","93.42","93.42"
"52","51","51","51","93.17","93.17","93.17"
"53","52","52","52","92.87","92.87","92.87"
"54","53","53","53","92.98","92.98","92.98"
"55","54","54","54","92.33","92.33","92.33"
"56","55","55","55","92.7","92.7","92.7"
"57","56","56","56","92.31","92.31","92.31"
"58","57","57","57","92","92","92"
"59","58","58","58","92.09","92.09","92.09"
"60","59","59","59","92.46","92.46","92.46"
"61","60","60","60","92.44","92.44","92.44"
"62","61","61","61","92.36","92.36","92.36"
"63","62","62","62","92.87","92.87","92.87"
"64","63","63","63","92.2","92.2","92.2"
"65","64","64","64","92.88","92.88","92.88"
"66","65","65","65","93.14","93.14","93.14"
"67","66","66","66","93.23","93.23","93.23"
"68","67","67","67","92.78","92.78","92.78"
"69","68","68","68","92.99","92.99","92.99"
"70","69","69","69","92.36","92.36","92.36"
"71","70","70","70","92.47","92.47","92.47"
"72","71","71","71","92.6","92.6","92.6"
"73","72","72","72","93.27","93.27","93.27"
"74","73","73","73","92.5","92.5","92.5"
"75","74","74","74","92.14","92.14","92.14"
"76","75","75","75","92.65","92.65","92.65"
"77","76","76","76","92.69","92.69","92.69"
"78","77","77","77","92.18","92.18","92.18"
"79","78","78","78","92.26","92.26","92.26"
"80","79","79","79","92.65","92.65","92.65"
"81","80","80","80","92.5","92.5","92.5"
"82","81","81","81","92.09","92.09","92.09"
"83","82","82","82","92.39","92.39","92.39"
"84","83","83","83","91.51","91.51","91.51"
"85","84","84","84","92","92","92"
"86","85","85","85","92.3","92.3","92.3"
"87","86","86","86","92.2","92.2","92.2"
"88","87","87","87","92.55","92.55","92.55"
"89","88","88","88","92.51","92.51","92.51"
"90","89","89","89","92.59","92.59","92.59"
"91","90","90","90","92.54","92.54","92.54"
"92","91","91","91","92.49","92.49","92.49"
"93","92","92","92","92.95","92.95","92.95"
"94","93","93","93","92.55","92.55","92.55"
"95","94","94","94","92.14","92.14","92.14"
"96","95","95","95","92.4","92.4","92.4"
"97","96","96","96","92.27","92.27","92.27"
"98","97","97","97","91.89","91.89","91.89"
"99","98","98","98","92.27","92.27","92.27"
"100","99","99","99","92.18","92.18","92.18"
"101","100","100","100","92.85","92.85","92.85"
"102","101","101","101","89.04","89.04","89.04"
"103","102","102","102","91.66","91.66","91.66"
"104","103","103","103","91.86","91.86","91.86"
"105","104","104","104","92.22","92.22","92.22"
"106","105","105","105","93.11","93.11","93.11"
"107","106","106","106","93.73","93.73","93.73"
"108","107","107","107","93.56","93.56","93.56"
"109","108","108","108","93.99","93.99","93.99"
"110","109","109","109","94.09","94.09","94.09"
"111","110","110","110","94.17","94.17","94.17"
"112","111","111","111","94.27","94.27","94.27"
"113","112","112","112","94.31","94.31","94.31"
"114","113","113","113","94.44","94.44","94.44"
"115","114","114","114","94.52","94.52","94.52"
"116","115","115","115","94.49","94.49","94.49"
"117","116","116","116","94.51","94.51","94.51"
"118","117","117","117","94.54","94.54","94.54"
"119","118","118","118","94.53","94.53","94.53"
"120","119","119","119","94.5","94.5","94.5"
"121","120","120","120","94.41","94.41","94.41"
"122","121","121","121","94.5","94.5","94.5"
"123","122","122","122","94.41","94.41","94.41"
"124","123","123","123","94.58","94.58","94.58"
"125","124","124","124","94.56","94.56","94.56"
"126","125","125","125","94.69","94.69","94.69"
"127","126","126","126","94.59","94.59","94.59"
"128","127","127","127","94.53","94.53","94.53"
"129","128","128","128","94.58","94.58","94.58"
"130","129","129","129","94.61","94.61","94.61"
"131","130","130","130","94.72","94.72","94.72"
"132","131","131","131","94.58","94.58","94.58"
"133","132","132","132","94.52","94.52","94.52"
"134","133","133","133","94.66","94.66","94.66"
"135","134","134","134","94.63","94.63","94.63"
"136","135","135","135","94.56","94.56","94.56"
"137","136","136","136","94.56","94.56","94.56"
"138","137","137","137","94.55","94.55","94.55"
"139","138","138","138","94.63","94.63","94.63"
"140","139","139","139","94.49","94.49","94.49"
"141","140","140","140","94.55","94.55","94.55"
"142","141","141","141","94.6","94.6","94.6"
"143","142","142","142","94.54","94.54","94.54"
"144","143","143","143","94.58","94.58","94.58"
"145","144","144","144","94.52","94.52","94.52"
"146","145","145","145","94.53","94.53","94.53"
"147","146","146","146","94.48","94.48","94.48"
"148","147","147","147","94.49","94.49","94.49"
"149","148","148","148","94.59","94.59","94.59"
"150","149","149","149","94.56","94.56","94.56"
"151","150","150","150","94.65","94.65","94.65"
"152","151","151","151","94.54","94.54","94.54"
"153","152","152","152","94.69","94.69","94.69"
"154","153","153","153","94.61","94.61","94.61"
"155","154","154","154","94.59","94.59","94.59"
"156","155","155","155","94.59","94.59","94.59"
"157","156","156","156","94.62","94.62","94.62"
"158","157","157","157","94.52","94.52","94.52"
"159","158","158","158","94.57","94.57","94.57"
"160","159","159","159","94.67","94.67","94.67"